UPC,BRAND,BRAND VARIANT,PROMOTION,PRODUCT COUNT,PACK COUNT,SHAPE,SIZE,PRICE,COMMENT,VIEW
999999981437,PLANTERS,DELUXE HONEY ROASTED WHOLE CASHEWS ,,1 COUNT,1 PACK,CANISTER,8.50 OZ,7.42,,
999999981436,PLANTERS,DELUXE UNSALTED MIXED NUTS ,,1 COUNT,1 PACK,CANISTER,15.25 OZ,7.98,,
999999981435,PLANTERS,DELUXE WHOLE CASHEWS ,,1 COUNT,1 PACK,CANISTER,18.25 OZ,9.98,,
999999981434,PLANTERS,DELUXE LIGHTLY SALTED WHOLE CASHEWS ,,1 COUNT,1 PACK,CANISTER,18.25 OZ,9.98,,
999999981433,PLANTERS,DELUXE MIXED NUTS ,,1 COUNT,1 PACK,CANISTER,15.25 OZ,7.98,,
999999981432,PLANTERS,DELUXE PISTACHIO MIX ,,1 COUNT,1 PACK,CANISTER,14.50 OZ,7.98,,
999999981431,PLANTERS,DELUXE LIGHTLY SALTED MIXED NUTS ,,1 COUNT,1 PACK,CANISTER,15.25 OZ,7.98,,
999999981430,GREAT VALUE,TOASTED COCONUT CASHEWS,,1 COUNT,1 PACK,CANISTER,8.25 OZ,4.96,,
999999981427,BLUE DIAMOND,ALMONDS OVEN ROASTED SEA SALT,,1 COUNT,1 PACK,POUCH,14 OZ,6.98,,
999999981426,BLUE DIAMOND,ALMONDS BOLD WASABI AND SOY SAUCE,,1 COUNT,1 PACK,POUCH,14 OZ,6.98,,
999999981425,BLUE DIAMOND,ALMONDS SMOKEHOUSE,,1 COUNT,1 PACK,POUCH,14 OZ,6.98,,
999999981424,GREAT VALUE,ROASTED & SALTED SUNFLOWER KERNELS,,1 COUNT,1 PACK,POUCH,,,,
999999981423,GREAT VALUE,ROASTED & SALTED COCKTAIL PEANUTS ,,1 COUNT,1 PACK,JAR,34.50 OZ,5.12,,
999999981422,GREAT VALUE,HONEY ROASTED PEANUTS ,,1 COUNT,1 PACK,JAR,34.50 OZ,5.12,,
999999981421,GREAT VALUE,DRY ROASTED & SALTED PEANUTS ,,1 COUNT,1 PACK,JAR,16 OZ,2.62,,
999999981420,GREAT VALUE,DRY ROASTED & SALTED PEANUTS ,,1 COUNT,1 PACK,JAR,34.50 OZ,5.12,,
999999981419,PLANTERS,DRY ROASTED PEANUTS ,,1 COUNT,1 PACK,JAR,34.50 OZ,5.98,,
999999981418,PLANTERS,HONEY ROASTED PEANUTS,,1 COUNT,1 PACK,JAR,16 OZ,3.5,,
999999981417,GREAT VALUE,ROASTED & SALTED MIXED NUTS ,,1 COUNT,1 PACK,CANISTER,14.75 OZ ,5.14,,
999999981416,GREAT VALUE,ROASTED & SALTED MIXED NUTS ,,1 COUNT,1 PACK,JAR,26 OZ,9.32,,
999999981415,GREAT VALUE,PEANUT BUTTER TRAIL MIX,,1 COUNT,1 PACK,POUCH,26 OZ,4.98,,
999999981414,GREAT VALUE,CAJUN TRAIL MIX ,,1 COUNT,1 PACK,POUCH,27 OZ,4.98,,
999999981413,GREAT VALUE,CRANBERRY TRAIL MIX,,1 COUNT,1 PACK,POUCH,26 OZ,4.98,,
999999981412,GREAT VALUE,TROPICAL TRAIL MIX,,1 COUNT,1 PACK,POUCH,26 OZ,4.98,,
999999981411,GREAT VALUE,INDULGENT TRAIL MIX,,1 COUNT,1 PACK,POUCH,26 OZ,4.98,,
999999981410,PLANTERS,HONEY ROASTED MIXED NUTS ,,1 COUNT,1 PACK,CANISTER,10 OZ,4.47,,
999999981409,GREAT VALUE,CRANBERRY CASHEW & ALMOND TRAIL MIX,,1 COUNT,1 PACK,JAR,29 OZ,8.87,,
999999981408,GREAT VALUE,MOUNTAIN TRAIL MIX ,,8 COUNT,1 PACK,BOX,14 OZ,5.2,,
999999981407,GREAT VALUE,TRADITIONAL TRAIL MIX ,,1 COUNT,1 PACK,JAR,36.50 OZ,7.24,,
999999981406,BLUE DIAMOND,ALMONDS LIGHTLY SALTED,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981405,BLUE DIAMOND,ALMONDS WHOLE NATURAL ,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981404,BLUE DIAMOND,BOLD HABANERO BBQ ,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981403,BLUE DIAMOND,BOLD WASABI & SOY SAUCE ,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981402,BLUE DIAMOND,ALMONDS BOLD SRIRACHA FLAVORED,,1 COUNT,1 PACK,CANISTER,6 OZ,3.44,,
999999981401,GREAT VALUE,LIGHTLY SALTED SHELLED PISTACHIOS,,1 COUNT,1 PACK,POUCH,12 OZ,8.84,,
999999981400,GREAT VALUE,ROASTED & SALTED PISTACHIOS ,,1 COUNT,1 PACK,POUCH,24 OZ,9.98,,
999999981399,GREAT VALUE,WHOLE NATURAL ALMONDS ,,1 COUNT,1 PACK,POUCH,14 OZ,6.48,,
999999981398,GREAT VALUE,COCO ROASTED ALMONDS ,,1 COUNT,1 PACK,POUCH,14 OZ,6.48,,
999999981397,BLUE DIAMOND,ALMONDS WHOLE NATURAL ,,1 COUNT,1 PACK,POUCH,14 OZ,6.48,,1827
999999981396,BLUE DIAMOND,ALMONDS ROASTED SALTED ,,1 COUNT,1 PACK,POUCH,14 OZ,6.48,,
